"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC Part Number"
"BZ1","Buzzer","~","Buzzer_Beeper:Buzzer_12x9.5RM7.6","1","","C781860"
"C1,C3","10uF","~","Capacitor_SMD:C_0805_2012Metric","2","","C89827"
"C2,C4","100nF","~","Capacitor_SMD:C_0603_1608Metric","2","","C91183"
"C5,C6","22pF","~","Capacitor_SMD:C_0402_1005Metric","2","","C277482"
"J1,J3","Conn_01x03","~","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","2","","C144394"
"J2","Conn_01x09","~","Connector_JST:JST_XH_B9B-XH-A_1x09_P2.50mm_Vertical","1","","C157966"
"J4","Conn_01x02","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1","","C158012"
"R1,R2","10k","~","Resistor_SMD:R_0402_1005Metric","2","","C60490"
"R3,R4","4.7k","~","Resistor_SMD:R_0402_1005Metric","2","","C105870"
"SW1","SW_Omron_B3FS","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf","Button_Switch_SMD:SW_SPST_Omron_B3FS-101xP","1","","C231324"
"SW2","SW_SPDT_XKB_DMx-xxxx-1","~","Button_Switch_THT:SW_XKB_DM1-16UD-1","1","","C466013"
"U1","AMS1117-5.0","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","","C2992571"
"U2","L293D","http://www.ti.com/lit/ds/symlink/l293.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1","","C18723575"
"U3","ATmega328P-P","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","Package_DIP:DIP-28_W7.62mm_Socket","1","","C33901"
"U4","24LC256","http://ww1.microchip.com/downloads/en/devicedoc/21203m.pdf","Package_DIP:DIP-8_W7.62mm_Socket","1","","C19193486"
"Y1","Crystal","~","Crystal:Crystal_HC49-4H_Vertical","1","","C7275043"
